service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
93534,1,1,1,1,1,0,0,20211101,20220318
90765,1,1,1,0,0,0,0,20211101,20220318
90307,0,1,1,0,1,0,0,20211101,20220318
88714,0,1,1,0,0,0,0,20211101,20220318
80635,0,0,0,0,0,0,0,20211101,20220318
79089,0,0,0,0,0,0,0,20211101,20220318
76222,0,0,0,0,0,0,0,20211102,20220318
63311,0,0,0,0,0,0,0,20211101,20220318
27454,0,0,1,0,0,0,0,20211103,20220316
23179,0,0,0,0,0,0,1,20211107,20220313
22266,0,0,0,0,0,0,1,20211107,20220313
21372,0,0,0,0,0,0,1,20211107,20220313
19497,0,0,0,0,0,0,1,20211107,20220313
17181,0,0,0,0,0,1,0,20211106,20220312
15165,0,0,0,0,0,0,0,20211103,20220316
15130,0,0,0,0,0,1,0,20211106,20220312
14675,0,0,0,0,0,0,0,20211106,20220312
14543,0,0,0,0,0,0,0,20211101,20220225
11676,0,0,0,0,0,0,0,20211111,20220311
10130,0,0,0,0,0,0,0,20211126,20220225
