fare_id,route_id,origin_id,destination_id,contains_id
501,100236,,,
501,100239,,,
100,100272,,,
915,100340,,,
501,100451,,,
915,102638,,,
501,100232,,,
501,100232,,,
501,100236,,,
501,100239,,,
501,100240,,,
100,100272,,,
915,100340,,,
501,100451,,,
501,100511,,,
915,102638,,,
701,100337,,,
501,100236,,,
501,100451,,,
501,100511,,,
501,100232,,,
501,100236,,,
501,100239,,,
501,100240,,,
501,100451,,,
501,100511,,,
501,100232,,,
501,100239,,,
501,100240,,,
501,100240,,,
501,100232,,,
501,100232,,,
501,100236,,,
501,100239,,,
501,100240,,,
100,100272,,,
915,100340,,,
501,100451,,,
501,100511,,,
915,102638,,,
501,100236,,,
501,100239,,,
501,100240,,,
501,100451,,,
501,100511,,,
501,100232,,,
501,100236,,,
501,100239,,,
501,100240,,,
100,100272,,,
700,100336,,,
915,100340,,,
501,100451,,,
501,100511,,,
915,102638,,,
701,100337,,,
501,100240,,,
501,100240,,,
110,102732,,,
101,102732,,,
110,102731,,,
101,102731,,,
110,102730,,,
101,102730,,,
110,102729,,,
101,102729,,,
110,102728,,,
101,102728,,,
110,102727,,,
101,102727,,,
110,102720,,,
101,102720,,,
110,102719,,,
101,102719,,,
110,102718,,,
101,102718,,,
110,102717,,,
101,102717,,,
110,102715,,,
101,102715,,,
110,102705,,,
101,102705,,,
110,102704,,,
101,102704,,,
110,102703,,,
101,102703,,,
110,102702,,,
101,102702,,,
110,102701,,,
101,102701,,,
110,102699,,,
101,102699,,,
110,102698,,,
101,102698,,,
900,102653,,,
900,102652,,,
110,102647,,,
101,102647,,,
110,102638,,,
110,102636,,,
101,102636,,,
110,102634,,,
101,102634,,,
110,102619,,,
101,102619,,,
110,102615,,,
101,102615,,,
900,102593,,,
110,102581,,,
101,102581,,,
110,102576,,,
101,102576,,,
110,102574,,,
101,102574,,,
110,102572,,,
101,102572,,,
900,102561,,,
900,102557,,,
110,102554,,,
101,102554,,,
110,102552,,,
101,102552,,,
110,102548,,,
101,102548,,,
110,100512,,,
101,100512,,,
900,100496,,,
110,100495,,,
101,100495,,,
110,100489,,,
101,100489,,,
110,100487,,,
101,100487,,,
300,100481,,,
110,100459,,,
101,100459,,,
110,100447,,,
101,100447,,,
305,100350,,,
305,100346,,,
305,100345,,,
305,100343,,,
305,100341,,,
110,100340,,,
900,100300,,,
900,100297,,,
900,100292,,,
900,100290,,,
110,100289,,,
101,100289,,,
110,100275,,,
101,100275,,,
110,100269,,,
101,100269,,,
110,100267,,,
101,100267,,,
110,100264,,,
101,100264,,,
110,100263,,,
101,100263,,,
110,100259,,,
101,100259,,,
110,100254,,,
101,100254,,,
110,100253,,,
101,100253,,,
110,100252,,,
101,100252,,,
110,100249,,,
101,100249,,,
110,100246,,,
101,100246,,,
110,100242,,,
101,100242,,,
110,100238,,,
101,100238,,,
110,100230,,,
101,100230,,,
110,100229,,,
101,100229,,,
110,100228,,,
101,100228,,,
110,100225,,,
101,100225,,,
110,100224,,,
101,100224,,,
110,100223,,,
101,100223,,,
110,100219,,,
101,100219,,,
110,100214,,,
101,100214,,,
110,100210,,,
101,100210,,,
110,100205,,,
101,100205,,,
110,100204,,,
101,100204,,,
110,100203,,,
101,100203,,,
110,100202,,,
101,100202,,,
110,100201,,,
101,100201,,,
110,100196,,,
101,100196,,,
110,100195,,,
101,100195,,,
110,100194,,,
101,100194,,,
110,100193,,,
101,100193,,,
110,100186,,,
101,100186,,,
110,100184,,,
101,100184,,,
110,100178,,,
101,100178,,,
110,100177,,,
101,100177,,,
110,100175,,,
101,100175,,,
110,100173,,,
101,100173,,,
110,100169,,,
101,100169,,,
110,100162,,,
101,100162,,,
110,100161,,,
101,100161,,,
110,100160,,,
101,100160,,,
110,100159,,,
101,100159,,,
110,100148,,,
101,100148,,,
110,100146,,,
101,100146,,,
110,100139,,,
101,100139,,,
110,100137,,,
101,100137,,,
110,100136,,,
101,100136,,,
110,100133,,,
101,100133,,,
110,100132,,,
101,100132,,,
110,100129,,,
101,100129,,,
110,100124,,,
101,100124,,,
110,100113,,,
101,100113,,,
110,100111,,,
101,100111,,,
110,100109,,,
101,100109,,,
110,100108,,,
101,100108,,,
110,100106,,,
101,100106,,,
110,100104,,,
101,100104,,,
110,100101,,,
101,100101,,,
110,100099,,,
101,100099,,,
110,100089,,,
101,100089,,,
110,100082,,,
101,100082,,,
110,100078,,,
101,100078,,,
110,100074,,,
101,100074,,,
110,100073,,,
101,100073,,,
110,100072,,,
101,100072,,,
110,100071,,,
101,100071,,,
110,100068,,,
101,100068,,,
110,100062,,,
101,100062,,,
110,100060,,,
101,100060,,,
110,100059,,,
101,100059,,,
110,100048,,,
101,100048,,,
110,100045,,,
101,100045,,,
110,100044,,,
101,100044,,,
110,100042,,,
101,100042,,,
110,100039,,,
101,100039,,,
110,100031,,,
101,100031,,,
110,100030,,,
101,100030,,,
110,100028,,,
101,100028,,,
110,100026,,,
101,100026,,,
110,100024,,,
101,100024,,,
110,100023,,,
101,100023,,,
110,100020,,,
101,100020,,,
110,100019,,,
101,100019,,,
110,100018,,,
101,100018,,,
110,100017,,,
101,100017,,,
110,100016,,,
101,100016,,,
110,100013,,,
101,100013,,,
110,100012,,,
101,100012,,,
110,100011,,,
101,100011,,,
110,100009,,,
101,100009,,,
110,100006,,,
101,100006,,,
110,100005,,,
101,100005,,,
110,100004,,,
101,100004,,,
110,100003,,,
101,100003,,,
110,100002,,,
101,100002,,,
110,100001,,,
101,100001,,,
