route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id
100129,90765,347458169,"Bellevue Via I-405","LOCAL",1,6250655,20237002,0,101
100129,90765,347458179,"Bellevue Via I-405","LOCAL",1,6250657,20237002,0,101
100201,90765,347458209,"Shoreline P&R Bellevue","LOCAL",0,6250662,11342005,0,101
100201,90765,347458219,"Bellevue ","LOCAL",1,6250660,20342004,0,101
100201,90765,347458229,"Bellevue ","LOCAL",1,6250663,20342004,0,101
100129,90765,347458239,"Bellevue Via I-405","LOCAL",1,6250653,20237002,0,101
100124,90765,347460139,"Duvall Redmond","LOCAL",0,6250650,41232004,0,101
100124,90765,347460149,"Duvall Redmond","LOCAL",0,6250652,41232004,0,101
100124,90765,347460199,"Duvall Redmond","LOCAL",0,6250648,41232004,0,101
100113,90765,347460709,"Education Hill ","LOCAL",0,6250568,21221006,0,101
100113,90765,347460809,"Education Hill ","LOCAL",0,6250666,21221006,0,101
100124,90765,347460959,"Duvall Redmond","LOCAL",0,6250646,41232004,0,101
100162,90765,347461009,"University District ","LOCAL",1,6250668,30271008,0,101
100162,90765,347461019,"University District Bellevue","LOCAL",1,6250680,30271003,0,101
100162,90765,347461029,"University District Bellevue","LOCAL",1,6250962,30271003,0,101
100162,90765,347461109,"University District Bellevue","LOCAL",1,6250672,30271004,0,101
100162,90765,347461119,"University District Bellevue","LOCAL",1,6250669,30271003,0,101
100162,90765,347461129,"University District Bellevue","LOCAL",1,6250964,30271003,0,101
100162,90765,347461149,"University District Bellevue","LOCAL",1,6250657,30271003,0,101
100162,90765,347461159,"University District Bellevue","LOCAL",1,6250667,30271004,0,101
100162,90765,347461179,"University District Bellevue","LOCAL",1,6250644,30271004,0,101
100162,90765,347461189,"University District Bellevue","LOCAL",1,6250670,30271004,0,101
100162,90765,347461199,"University District Bellevue","LOCAL",1,6250679,30271004,0,101
100162,90765,347461209,"University District Bellevue","LOCAL",1,6250672,30271004,0,101
100162,90765,347461279,"University District Bellevue","LOCAL",1,6250679,30271004,0,101
100162,90765,347461289,"University District Bellevue","LOCAL",1,6250676,30271004,0,101
100162,90765,347461299,"University District Bellevue","LOCAL",1,6250669,30271004,0,101
100162,90765,347461309,"University District Bellevue","LOCAL",1,6250966,30271003,0,101
100162,90765,347461319,"University District Bellevue","LOCAL",1,6250655,30271003,0,101
100162,90765,347461329,"University District Bellevue","LOCAL",1,6250678,30271004,0,101
100162,90765,347461349,"University District Bellevue","LOCAL",1,6250681,30271003,0,101
100162,90765,347461359,"University District Bellevue","LOCAL",1,6250670,30271003,0,101
100162,90765,347461369,"University District Bellevue","LOCAL",1,6250655,30271007,0,101
100162,90765,347461389,"University District Bellevue","LOCAL",1,6250675,30271004,0,101
100162,90765,347461409,"University District Bellevue","LOCAL",1,6250670,30271004,0,101
